Type Name,Type Page,Icon Name,Icon Number,Icon Page,
RecyclingCenter,,recycle,60,http://thenounproject.com/noun/recycle/#icon-No60,http://thenounproject.com/site_media/zipped/svg_60.zip
SelfStorage,,,,,
ShoppingCenter,,shops,28,http://thenounproject.com/noun/shops/#icon-No28,http://thenounproject.com/site_media/zipped/svg_28.zip
SportsActivityLocation,,gymnasium,736,http://thenounproject.com/noun/gymnasium/#icon-No736,http://thenounproject.com/site_media/zipped/svg_736.zip
Store,,grocery store,2386,http://thenounproject.com/noun/grocery-store/#icon-No2386,http://thenounproject.com/site_media/zipped/svg_2386.zip
TelevisionStation,,,,,
TouristInformationCenter,,information,908,http://thenounproject.com/noun/information/#icon-No908,http://thenounproject.com/site_media/zipped/svg_908.zip
TravelAgency,,,,,
NGO,http://schema.org/NGO,,,,
PerformingGroup,http://schema.org/PerformingGroup,team,1016,http://thenounproject.com/noun/team/#icon-No1016,http://thenounproject.com/site_media/zipped/svg_1016.zip
SportsTeam,http://schema.org/SportsTeam,,,,
Person,http://schema.org/Person,man,2,http://thenounproject.com/noun/man/#icon-No2,http://thenounproject.com/site_media/zipped/svg_2.zip
Place,http://schema.org/Place,Map-marker,462,http://thenounproject.com/noun/map-marker/#icon-No462,http://thenounproject.com/site_media/zipped/svg_462.zip
AdministrativeArea,http://schema.org/AdministrativeArea,city,1566,http://thenounproject.com/noun/city/#icon-No1566,http://thenounproject.com/site_media/zipped/svg_1566.zip
City,,city,1566,http://thenounproject.com/noun/city/#icon-No1566,http://thenounproject.com/site_media/zipped/svg_1566.zip
Country,,,,,
State,,texas,2286,http://thenounproject.com/noun/texas/#icon-No2286,http://thenounproject.com/site_media/zipped/svg_2286.zip
CivicStructure,http://schema.org/CivicStructure,town hall,2406,http://thenounproject.com/noun/town-hall/#icon-No2406,http://thenounproject.com/site_media/zipped/svg_2406.zip
Airport,,airport,2431,http://thenounproject.com/noun/airport/#icon-No2431,http://thenounproject.com/site_media/zipped/svg_2431.zip
Aquarium,,,,,
Beach,,beach chair,1611,http://thenounproject.com/noun/beach-chair/#icon-No1611,http://thenounproject.com/site_media/zipped/svg_1611.zip
BusStation,,bus stop,2246,http://thenounproject.com/noun/bus-stop/#icon-No2246,http://thenounproject.com/site_media/zipped/svg_2246.zip
BusStop,,bus stop,2246,http://thenounproject.com/noun/bus-stop/#icon-No2246,http://thenounproject.com/site_media/zipped/svg_2246.zip
Campground,,campground,209,http://thenounproject.com/noun/campground/#icon-No209,http://thenounproject.com/site_media/zipped/svg_209.zip
Cemetery,,cemetery,2441,http://thenounproject.com/noun/cemetery/#icon-No2441,http://thenounproject.com/site_media/zipped/svg_2441.zip
Crematorium,,cemetery,2441,http://thenounproject.com/noun/cemetery/#icon-No2441,http://thenounproject.com/site_media/zipped/svg_2441.zip
EventVenue,,theater,501,http://thenounproject.com/noun/theater/#icon-No501,http://thenounproject.com/site_media/zipped/svg_501.zip
FireStation,,fire station,2405,http://thenounproject.com/noun/fire-station/#icon-No2405,http://thenounproject.com/site_media/zipped/svg_2405.zip
GovernmentBuilding,,capital,1761,http://thenounproject.com/noun/capital/#icon-No1761,http://thenounproject.com/site_media/zipped/svg_1761.zip
Hospital,,hospital,2384,http://thenounproject.com/noun/hospital/#icon-No2384,http://thenounproject.com/site_media/zipped/svg_2384.zip
MovieTheater,,cinema,313,http://thenounproject.com/noun/cinema/#icon-No313,http://thenounproject.com/site_media/zipped/svg_313.zip
Museum,,museum,2428,http://thenounproject.com/noun/museum/#icon-No2428,http://thenounproject.com/site_media/zipped/svg_2428.zip
MusicVenue,,theater,501,http://thenounproject.com/noun/theater/#icon-No501,http://thenounproject.com/site_media/zipped/svg_501.zip
Park,,park,208,http://thenounproject.com/noun/picnic-table/#icon-No208,http://thenounproject.com/site_media/zipped/svg_208.zip
ParkingFacility,,parking,27,http://thenounproject.com/noun/parking/#icon-No27,http://thenounproject.com/site_media/zipped/svg_27.zip
PerformingArtsTheater,,theater,1548,http://thenounproject.com/noun/theater/#icon-No1548,http://thenounproject.com/site_media/zipped/svg_1548.zip
PlaceOfWorship,,church,2541,http://thenounproject.com/noun/church/#icon-No2541,http://thenounproject.com/site_media/zipped/svg_2541.zip
Playground,,playground,734,http://thenounproject.com/noun/playground/#icon-No734,http://thenounproject.com/site_media/zipped/svg_734.zip
PoliceStation,,,,,
RVPark,,rv,254,http://thenounproject.com/noun/rv/#icon-No254,http://thenounproject.com/site_media/zipped/svg_254.zip
StadiumOrArena,,,,,
SubwayStation,,subway,724,http://thenounproject.com/noun/subway/#icon-No724,http://thenounproject.com/site_media/zipped/svg_724.zip
TaxiStand,,taxi,70,http://thenounproject.com/noun/taxi/#icon-No70,http://thenounproject.com/site_media/zipped/svg_70.zip
TrainStation,,Train-station,608,http://thenounproject.com/noun/train-station/#icon-No608,http://thenounproject.com/site_media/zipped/svg_608.zip
Zoo,,elephant,860,http://thenounproject.com/noun/elephant/#icon-No860,http://thenounproject.com/site_media/zipped/svg_860.zip
Landform,http://schema.org/Landform,mountain,1045,http://thenounproject.com/noun/mountain/#icon-No1045,http://thenounproject.com/site_media/zipped/svg_1045.zip
BodyOfWater,,reservoir,1129,http://thenounproject.com/noun/reservoir/#icon-No1129,http://thenounproject.com/site_media/zipped/svg_1129.zip
Continent,,,,,
Mountain,,mountain,1045,http://thenounproject.com/noun/mountain/#icon-No1045,http://thenounproject.com/site_media/zipped/svg_1045.zip
Volcano,,volcano,1708,http://thenounproject.com/noun/volcano/#icon-No1708,http://thenounproject.com/site_media/zipped/svg_1708.zip
LandmarksOrHistoricalBuildings,http://schema.org/LandmarksOrHistoricalBuildings,castle,2478,http://thenounproject.com/noun/castle/#icon-No2478,http://thenounproject.com/site_media/zipped/svg_2478.zip
Residence,http://schema.org/Residence,house,1439,http://thenounproject.com/noun/house/#icon-No1439,http://thenounproject.com/site_media/zipped/svg_1439.zip
TouristAttraction,http://schema.org/TouristAttraction,monument,2426,http://thenounproject.com/noun/monument/#icon-No2426,http://thenounproject.com/site_media/zipped/svg_2426.zip
Product,http://schema.org/Product,present,188,http://thenounproject.com/noun/present/#icon-No188,http://thenounproject.com/site_media/zipped/svg_188.zip
